name,address,date,score
Coney Island,2351 Elvis Presley Blvd.  Memphis. TN 38106,August 19. 2020,97
Blue Plate Cafe,5469 Poplar Ave.  Memphis. TN 38119,August 19. 2020,94
Stein's Restaurant,2248 S. Lauderdale  Memphis. TN 38106,August 19. 2020,95
DQ GRILL & CHILL - FD FACILITY,8569 HWY 51 N.  Millington. TN 38053,August 19. 2020,94
POP'S COMFORT KITCHEN,2990 KIRY WHITTEN RD  Memphis. TN 38134,August 19. 2020,98
Starbucks #7954,8507 Hwy 51 N.  Millington. TN 38083,August 19. 2020,95
CHICK-FIL-A,2940 KIRBY WHITTEN  Memphis. TN 38134,August 19. 2020,98
Church's Fried Chicken #996,2275 Elvis Presley Blvd.  Memphis. TN 38116,August 19. 2020,95
LOT-A-BURGER,2260 S. Third  Memphis. TN 38109,August 19. 2020,98
Chop Suey House Restaurant,2285 Elvis Presley  Memphis. TN 38106,August 19. 2020,95
All Star Lanes,1576 S. White Station  Memphis. TN 38117,August 19. 2020,95
Coletta's Italian Rest.(Bar),1063 S. Parkway E.  Memphis. TN 38106,August 19. 2020,99
Pine Hill Golf Course,1005 Alice Ave.  Memphis. TN 38106,August 19. 2020,99
Interstate Bar B Q,2265 S. Third St.  Memphis. TN 38109,August 19. 2020,97
Subway # 12725,709 E. Parkway  Memphis. TN 38104,August 19. 2020,99
Bamboo Garden Restaurant,2235 Whitten Rd.. STE 101  Memphis. TN 38133,August 18. 2020,95
CAFE Ole' - Bar,959 S. Cooper  Memphis. TN 38104,August 18. 2020,100
Stone Soup Cafe' & Market,993 S. Cooper  Memphis. TN 38104,August 18. 2020,99
Kentucky Fried Chicken #32,869 S. Third St.  Memphis. TN 38106,August 18. 2020,94
Captain D's Seafood Kitchen #6127,179 E. H. Crump Blvd.  Memphis. TN 38106,August 18. 2020,97
Captain D's Seafood Kitchen #6127,179 E. H. Crump Blvd.  Memphis. TN 38106,August 18. 2020,97
Kobe Japanese Cuisine,8510 Wilkinsville Rd.  Millington. TN 38053,August 18. 2020,92
Belmont Grill. The,4970 Poplar Ave.  Memphis. TN 38117,August 18. 2020,94
Olympic Steak & Pizza,8500 Wilkinsonville  Millington. TN 38053,August 18. 2020,94
Chick Fil-A # 1018,4916 Poplar Ave.  Memphis. TN 38117,August 18. 2020,97
Wendy's #3080,4605 Poplar Ave.  Memphis. TN 38117,August 18. 2020,96
Taziki's Restaurant,540 S. Mendenhall Suite 9  Memphis. TN 38117,August 18. 2020,96
Don Don's Hot Wings,2235 Covington Pike. Ste 9  Memphis. TN 38128,August 18. 2020,93
King's Palace - Bar,162-164 Beale St.  Memphis. TN 38103,August 18. 2020,100
Central Bbq,2249 Central Ave.  Memphis. TN 38104,August 18. 2020,86
Church's Fried Chicken #934,1868 S. Third St.  Memphis. TN 38109,August 18. 2020,95
Church's Fried Chicken #771,2405 Airways  Memphis. TN 38114,August 18. 2020,96
Mortimer's,590 N. Perkins  Memphis. TN 38122,August 18. 2020,94
Kentucky Fried Chicken #48,3215 S. Perkins  Memphis. TN 38118,August 18. 2020,97
Blues Hall Juke Joint,174 Beale St.  Memphis. TN 38103,August 18. 2020,98
Bright Ideas Enrichment Center - Fs,2104 Hillshire Cir  Memphis. TN 38133,August 18. 2020,100
Cafe Ole',959 S. Cooper  Memphis. TN 38104,August 18. 2020,99
Rum Boogie Lounge Bar,182 Beale St.  Memphis. TN 38103,August 18. 2020,97
Church's Fried Chicken #309,2304 Chelsea Ave.  Memphis. TN 38108,August 18. 2020,95
King's Palace. The Taproom Bar,168 Beale St.  Memphis. TN 38103,August 18. 2020,99
Wendy's,717 W. Poplar Avenue  Collierville. TN 38017,August 18. 2020,96
KFC-Taco Bell Restaurant #45,2785 Lamar  Memphis. TN 38114,August 17. 2020,92
Meng's Chinese Cuisine,2990 Semmes  Memphis. TN 38114,August 17. 2020,93
Kentucky Fried Chicken #43,2256 Lamar Ave.  Memphis. TN 38114,August 17. 2020,98
CANDLELIGHT BALLROOM,3015 PARK AVE  Memphis. TN 38114,August 17. 2020,97
JJ FISH AND CHICKEN,2757 KIMBALL AVENUE STE 105  Memphis. TN 38114,August 17. 2020,94
Millington Child Devlpmt - Fd Svc,8190 Densford Cir W.  Millington. TN 38053,August 17. 2020,100
Lapetite Academy-Food Service,2857 Coleman  Memphis. TN 38128,August 17. 2020,100
Foozi,5100 Poplar Ave.. STE 100  Memphis. TN 38137,August 17. 2020,96
SHARKS - FD-SRV.,1352 E. SHELBY DR.  Memphis. TN 38116,August 17. 2020,92
Mulan Asian Bistro - Bar,2149 Young Ave.  Memphis. TN 38104,August 17. 2020,98
Dixie Queen,1472 E. Shelby Dr.  Memphis. TN 38116,August 17. 2020,97
Mulan Asian Bistro,2149 Young St.  Memphis. TN 38104,August 17. 2020,98
Young Avenue Deli - Bar,2119 Young Ave.  Memphis. TN 38104,August 17. 2020,100
STAKS PANCAKE KITCHEN,4615 POPLAR AVE.. STE. 102  Memphis. TN 38117,August 16. 2020,94
Pig On Beale. Inc. - Bar,167 Beale St.  Memphis. TN 38103,August 16. 2020,98
Crumpy's Hot Wings,2493 Park Ave.  Memphis. TN 38114,August 16. 2020,97
Yum's Sandwich Shop,2265 Park Ave.  Memphis. TN 38114,August 16. 2020,92
HOOTER'S,7535 WINCHESTER RD  Memphis. TN 38125,August 16. 2020,100
The Mighty Olive,4615 Poplar Ave.  Memphis. TN 38117,August 16. 2020,98
Popeye's Louisiana Chicken. Inc. #4856,2235 Lamar Ave.  Memphis. TN 38114,August 16. 2020,97
Sabor Caribe Restaurant,662 Madison AVE  Memphis. TN 38105,August 16. 2020,95
Yum's Restaurant,1934 S. Third St.  Memphis. TN 38109,August 16. 2020,76
Checker's #6230,844 Poplar  Memphis. TN 38105,August 16. 2020,92
BIG LEAGUE (BAR),3896 LAMAR AVE  Memphis. TN 38118,August 16. 2020,98
The Wing Factory,2280 Park Ave.  Memphis. TN 38114,August 16. 2020,95
BIG LEAGUE (FS),3896 LAMAR AVE  Memphis. TN 38118,August 16. 2020,91
New Hong Kong,1979 S. Third St.  Memphis. TN 38109,August 16. 2020,80
CROWN PLAZA DOWNTOWN,300 N. SECOND STREET  Memphis. TN 38105,August 16. 2020,100
Grandma's Deserts. Etc.,3108 Park Ave.  Memphis. TN 38111,August 16. 2020,100
Mifa-Orange Mound,2590 Park Ave.  Memphis. TN 38114,August 16. 2020,100
Blue Plate Cafe,113 Court  Memphis. TN 38103,August 16. 2020,91
Wendy's,3979 Covington Pike  Memphis. TN 38128,August 16. 2020,98
Church's Fried Chicken #350,2963 Park Ave.  Memphis. TN 38114,August 16. 2020,87
Krystal #MFS009,2663 Mt Moriah  Memphis. TN 38118,August 16. 2020,98
Papa John's Pizza #298,1434 Union Ave.  Memphis. TN 38104,August 13. 2020,96
Other Lands Coffee,639 S. Cooper  Memphis. TN 38104,August 13. 2020,90
Panera Bread,4530 Poplar Ave.. STE 101  Memphis. TN 38117,August 13. 2020,96
McDONALD'S #36839,7101 WINCHESTER RD  Memphis. TN 38125,August 13. 2020,100
SUBWAY 33391,5135 QUINCE  Memphis. TN 38117,August 13. 2020,100
Bearly Tots Enrichment Ctr - Fd Svc,8921 Highway 51 N.  Millington. TN 38053,August 13. 2020,97
LOS REYES BAKERY - FD-SRV.,2465 WHITTEN RD. SUITE 106  Memphis. TN 38133,August 13. 2020,100
Learning Tree Center In Bartlett/Fdsrv,2780 Summer Oaks  Bartlett. TN 38134,August 13. 2020,99
Alfreds (Bar),197 Beale St.  Memphis. TN 38103,August 13. 2020,100
Goodtime Charlie's,2465 Whitten Rd.. Suite 101  Memphis. TN 38133,August 13. 2020,98
Old Venice Pizza Company,368 Perkins Ext  Memphis. TN 38117,August 13. 2020,96
Playcare Learning Center - Fd Srv,6634 Hwy 70  Bartlett. TN 38134,August 13. 2020,100
GOODTIME CHARLIE'S - BAR,2465 WHITTEN RD. SUITE 101  Memphis. TN 38133,August 13. 2020,100
Wendy's,6260 Winchester  Memphis. TN 38115,August 13. 2020,97
El Porton Mexican Restaurant,2095 Merchants Row  Germantown. TN 38138,August 13. 2020,96
SMOOTHIE KING #1644,4562 POPLAR AVE #117  Memphis. TN 38117,August 13. 2020,97
Kentucky Fried Chicken #39,4306 Summer  Memphis. TN 38122,August 13. 2020,93
Abbays Cordova,2345 N. Germantown Pkwy.  Memphis. TN 38106,August 13. 2020,97
ELISE ALL STAR ACADEMY - FD SRV.,3489 JACKSON AVE  Memphis. TN 38122,August 13. 2020,96
Backyard Burger # 13,436 Perkins Extd  Memphis. TN 38117,August 13. 2020,96
BAHAMA BREEZE - FD. SRV,2830 N GERMANTOWN PKWY  Memphis. TN 38113,August 12. 2020,97
The Kitchen,1420 Jackson Ave.  Memphis. TN 38107,August 12. 2020,96
Mcdonalds #7812,905 Union Ave.  Memphis. TN 38103,August 12. 2020,98
Arby's # 1473,975 Union Ave.  Memphis. TN 38104,August 12. 2020,98
BAHAMA BREEZE - BAR - 1,2830 N GERMANTOWN PKWY  Memphis. TN 38113,August 12. 2020,99
Lenny's Sub Shop #4,3593 Riverdale Rd.  Memphis. TN 38115,August 12. 2020,100
C.W.'S Place,4111 Airways  Memphis. TN 38116,August 12. 2020,100
Wendy's,4766 Navy Road  Millington. TN 38053,August 12. 2020,94
Building Blocks Child Development Center,5400 Knight Arnold  Memphis. TN 38115,August 12. 2020,100
Krystal #MFS011,1377 Union Ave.  Memphis. TN 38104,August 12. 2020,96
Toddler Town,6479 Winchester Suite 120  Memphis. TN 38115,August 12. 2020,100
BAHAMA BREEZE - BAR - 2,2830 N GERMANTOWN PKWY  Memphis. TN 38113,August 12. 2020,100
Eat Well Sushi & Grill,2965 N. Germantown Rd.. STE 102  Memphis. TN 38133,August 12. 2020,96
Pizza Hut #4040,5376 Knight Arnold  Memphis. TN 38119,August 12. 2020,98
I Love Juice Bar,553 S. Cooper  Memphis. TN 38104,August 11. 2020,99
Baskin Robbins,7110 Winchester Rd.  Memphis. TN 38125,August 11. 2020,95
Bangkok Alley,715 W. Brookhaven Circle  Memphis. TN 38117,August 11. 2020,95
RIZZO'S - BAR,492 S MAIN ST  Memphis. TN 38103,August 11. 2020,99
RIZZO'S,492 S MAIN ST  Memphis. TN 38103,August 11. 2020,97
Holiday Inn @ Kemmons Wilson /Main Kitch,3700 Central Ave.  Memphis. TN 38111,August 11. 2020,100
Bluff City Coffee,505 S. Main St.  Memphis. TN 38103,August 11. 2020,96
For The Kingdom,4100 Raleigh Millington Rd.  Memphis. TN 38128,August 11. 2020,94
Holiday Inn @ Kemmons Wilson/Snacks,3700 Central Ave.  Memphis. TN 38111,August 11. 2020,100
American Deli,1250 E. Shelby Dr.. STE 250  Memphis. TN 38116,August 11. 2020,95
Asian Star,6158 Stage RD  Memphis. TN 38134,August 11. 2020,98
Popeye's Famous Fried Chicken #7096,6085 Stage  Memphis. TN 38134,August 11. 2020,98
Captain D's,4209 Hacks Cross  Memphis. TN 38125,August 11. 2020,97
The Lodge At Teton Trek,2000 Prentiss Pl  Memphis. TN 38112,August 10. 2020,90
Humdingers,6300 Poplar Ave.. STE 101  Memphis. TN 38119,August 10. 2020,95
The Green Beetle,325 S. Main St.  Memphis. TN 38103,August 10. 2020,96
Baskin Robbins # 7757,9915 Highway 64. STE 108  Arlington. TN 38002,August 10. 2020,96
Holy Cow (Restaurant),6560 Poplar Ave.  Memphis. TN 38138,August 10. 2020,96
Mifa-Plough Towers/Nutrition,6580 Poplar  Memphis. TN 38138,August 10. 2020,99
MEMPHIS ZOO-FUNNEL CART STAND,2000 PRENTISS  Memphis. TN 38112,August 10. 2020,95
Mphs Area Boys & Girls Club Tech Training Ctr,903 Walker Ave.  Memphis. TN 38106,August 10. 2020,100
Regina's Cajun Kitchen (BAR),60 N Main Street  Memphis. TN 38103,August 10. 2020,100
Mifa-Jewish Comm. Center,6560 Poplar  Memphis. TN 38138,August 10. 2020,96
La Michoacana,6635 Winchester  Memphis. TN 38115,August 10. 2020,97
CURRY N JERK,128 MONROE AVE  Memphis. TN 38103,August 10. 2020,99
Silly Goose,100 Peabody Pl. STE 190  Memphis. TN 38103,August 10. 2020,97
Silly Goose - Bar,100 Peabody Pl. STE 190  Memphis. TN 38103,August 10. 2020,98
Regina's Cajun Kitchen,60 N. Main St  Memphis. TN 38103,August 10. 2020,98
Dippin Dots Cart 2,2000 Prentiss Place.  Memphis. TN 38112,August 10. 2020,90
America Best Childcare,5717 Airline Rd.  Arlington. TN 38002,August 10. 2020,98
Waffle House #2213,9780 US HWY 64  Arlington. TN 38002,August 10. 2020,91
Subway #4537 - Downtown,85 N. Main  Memphis. TN 38103,August 10. 2020,99
Dippin Dots Cart 3,2000 Prentiss Place.  Memphis. TN 38112,August 10. 2020,94
MS D'S WINGS - FD-SRV.,3203 COLEMAN  Memphis. TN 38128,August 10. 2020,95
Supreme Hot Wings,1674 Whitten Rd.. STE 102  Memphis. TN 38134,August 9. 2020,95
THE CRESCENT CLUB,6075 POPLAR AVE  Memphis. TN 38119,August 9. 2020,96
Small Steps Dcc - Food,1422 Gillham  Bartlett. TN 38134,August 9. 2020,95
Rumba Room - Bar,303 S. Main St.  Memphis. TN 38103,August 9. 2020,96
EL PORTON - FD-SRV.,3448 POPLAR  Memphis. TN 38111,August 9. 2020,99
DUNKIN DONUTS - FD-SRV.,1674 WHITTEN ROAD SUITE 108  Memphis. TN 38134,August 9. 2020,97
Rumba Room,303 S. Main St.  Memphis. TN 38103,August 9. 2020,99
Tug's Grill,51 Harbor Town Sq  Memphis. TN 38103,August 9. 2020,100
Smoothie King,3586 Riverdale  Memphis. TN 38115,August 9. 2020,100
Pearl's Oyster House,299 S Main St  Memphis. TN 38103,August 9. 2020,86
JULLES POSH - FD - SRV.,6300 POPLAR AVE. SUITE 110  Memphis. TN 38119,August 9. 2020,97
Salsa's Mexican Restaurant - Bar,6150 Poplar. Ste 129  Memphis. TN 38119,August 9. 2020,99
Subway #14606,1674 Whitten Rd.. STE 105  Memphis. TN 38134,August 9. 2020,99
D'bo's #4,7050 Malco Crossing.. STE 106  Memphis. TN 38125,August 9. 2020,97
Lenny's Sub Shop #52,6300 Poplar. Suite 111  Memphis. TN 38119,August 9. 2020,95
PERKINS & MARIE CALENDER - FD-SRV,3455 POPLAR  Memphis. TN 38111,August 9. 2020,92
South Of Beale,361 S. Main  Memphis. TN 38103,August 9. 2020,96
Salsa's Mexican Restaurant,6150 Poplar Ave.ste 129  Memphis. TN 38119,August 9. 2020,98
Moe's Southwest Grill,6300 Poplar Ave.. STE 108  Memphis. TN 38119,August 9. 2020,96
Wendy's,2811 Getwell  Memphis. TN 38115,August 7. 2020,100
Childrens Knowledge Station - Food,4020 Broadway  Memphis. TN 38135,August 6. 2020,100
Pizza Hut #4039,6725 E. Shelby Dr.  Memphis. TN 38141,August 6. 2020,98
Children First / Food Service,8045 N. Brother Blvd.  Bartlett. TN 38148,August 6. 2020,100
YUM'S SUBS,3582 SUMMER AVE  Memphis. TN 38122,August 6. 2020,94
Fleming Prime Steakhouse- Bar,6245 Poplar Ave.  Memphis. TN 38119,August 6. 2020,99
MCDONALD'S - FD-SRV.,7101 WINCHESTER ROAD  Memphis. TN 38125,August 6. 2020,100
Pyro's,1199 Ridgeway Rd.  Memphis. TN 38119,August 6. 2020,100
Chick-Fil-A Poplar Station,6282 Poplar Ave.  Memphis. TN 38119,August 6. 2020,96
MCDONALD'S #11131,7011 E SHELBY DRIVE  Memphis. TN 38141,August 6. 2020,100
Holiday Inn Express Medical Center,1180 Union Ave.  Memphis. TN 38104,August 6. 2020,96
We Love Kids - Food Service,8040 Stage Hills Blvd.  Bartlett. TN 38133,August 6. 2020,100
CENTRAL BBQ,6201 POPLAR AVE  Memphis. TN 38119,August 6. 2020,100
Backyard Burgers #21,6466 Poplar  Memphis. TN 38119,August 6. 2020,96
Subway,750 Madison Ave. Suite #103  Memphis. TN 38103,August 6. 2020,97
Courtyard Downtown Memphis-Bar,75 Jefferson  Memphis. TN 38103,August 6. 2020,97
Shogun Japanese Steak House,2324 N. Germanotwn Pkwy.  Cordova. TN 38016,August 6. 2020,94
Cheddar's (Bar),2147 N. Germantown Pkwy.  Cordova. TN 38016,August 6. 2020,97
Cheddar's,2147 N. Germantown Pkwy.  Cordova. TN 38016,August 6. 2020,93
Subway # 11187,6515 Poplar Ave.. Ste 102  Memphis. TN 38119,August 6. 2020,98
CENTRAL BBQ,6201 POPLAR AVE  Memphis. TN 38119,August 6. 2020,98
Fleming's Prime Steakhouse,6245 Poplar Ave.  Memphis. TN 38119,August 6. 2020,98
Ruth's Chris Steak House - Bar,6120 Poplar Ave.  Memphis. TN 38119,August 5. 2020,98
Wing Stop,7706 Winchester. Suite 103 Rd.  Memphis. TN 38125,August 5. 2020,96
Smoothie King,3680 Houston Levee RD Ste. 101  Collierville. TN 38017,August 5. 2020,99
SUNRISE MEMPHIS,670 JEFFERSON AVE  Memphis. TN 38105,August 5. 2020,95
Ruth's Chris Steak House,6120 Poplar Ave.  Memphis. TN 38119,August 5. 2020,98
Yum's Restaurant,2451 Jackson Ave.  Memphis. TN 38112,August 5. 2020,94
PYRO'S PIZZA - FD-SRV.,2286 N GERMANTOWN  Cordova. TN 38016,August 5. 2020,98
Olive Garden. The #1612,7778 Winchester  Memphis. TN 38125,August 5. 2020,96
Uncle Lou's Fried Chicken & Stuff,3633 Millbranch  Memphis. TN 38116,August 5. 2020,95
Jimmy John Sandwiches,2293 N. Germantown Pkwy  Cordova. TN 38016,August 5. 2020,98
Germantown Plantation Senior Living,9293 Poplar Ave.  Germantown. TN 38138,August 5. 2020,99
The Capital Grille (Bar),6065 Poplar Ave.  Memphis. TN 38119,August 5. 2020,99
Menchie's,7706 Winchester Rd  Memphis. TN 38125,August 5. 2020,99
CHECKERS,6998 E SHELBY DR  Memphis. TN 38125,August 5. 2020,97
Sonic Drive -In,7450 Winchester Rd.  Memphis. TN 38125,August 5. 2020,99
PYRO'S PIZZA - BAR,2286 N GERMANTOWN SUITE 101  Cordova. TN 38016,August 5. 2020,100
Pei Wei Asian Diner,2257 N. Germantown Pkwy.  Cordova. TN 38018,August 5. 2020,96
HOOTER'S (BAR),7535 WINCHESTER RD  Memphis. TN 38125,August 5. 2020,100
Barnes & Noble Booksellers,2774 N. Germantown Pkwy  Memphis. TN 38133,August 5. 2020,97
Olive Garden. The #1612 - Bar,7778 Winchester  Memphis. TN 38125,August 5. 2020,100
Panda Express,7579 Winchester  Memphis. TN 38125,August 5. 2020,96
Zam Zam'z Grill,7706 Winchester Rd.  Memphis. TN 38125,August 5. 2020,90
Raleigh Community Christian Childcare Center,4748 New Allen Rd.  Memphis. TN 38128,August 5. 2020,98
Wild Beet Salad Company (Food Svcs),6641 Poplar Ave Suite 106  Germantown. TN 38138,August 5. 2020,96
The Capital Grille,6065 Poplar Ave.  Memphis. TN 38119,August 5. 2020,99
Big Hong Kong,3312 Jackson  Memphis. TN 38122,August 5. 2020,93
Frida's Restaurant (Bar 2),1718 Madison Ave.  Memphis. TN 38104,August 4. 2020,99
Happy Mexican Restaurant - Bar,7935 Winchester Rd.  Memphis. TN 38125,August 4. 2020,99
Happy Mexican Restaurant,7935 Winchester Rd.  Memphis. TN 38125,August 4. 2020,93
Khun's Chinese Restaurant,3290 Jackson Ave.  Memphis. TN 38122,August 4. 2020,95
J. Alexander's Restaurant / Redlands Grill,2670 N. Germantown Pkwy.  Memphis. TN 38133,August 4. 2020,96
LENNY'S DELI & SUBS,22 N FRONT  Memphis. TN 38103,August 4. 2020,98
Owen Brennan's Bar,6150 Poplar. STE 150  Memphis. TN 38119,August 4. 2020,100
Firehouse Subs,5062 Park  Memphis. TN 38117,August 4. 2020,100
Colonial Country Club / Pool Snack Bar,2736 Countrywood Pkwy.  Cordova. TN 38018,August 4. 2020,98
O'Charley's #222,6045 Stage Rd.  Bartlett. TN 38134,August 4. 2020,88
J. Alexander's Restaurant  / Redlands Grill - Bar,2670 N. Germantown Pkwy.  Memphis. TN 38133,August 4. 2020,100
Frida's Restaurant FD,1718 Madison Ave.  Memphis. TN 38104,August 4. 2020,93
Chick Fil-A #984,7072 Winchester Rd.  Memphis. TN 38125,August 4. 2020,100
La Petite Academy,8037 Meadowvale Ln.  Memphis. TN 38125,August 4. 2020,100
Backyard Burgers,5091 Park Ave.  Memphis. TN 38117,August 4. 2020,98
Paradise Cafe,6150 Poplar Avenue Ste 120  Memphis. TN 38119,August 4. 2020,98
Memphis Pizza Cafe,5061 Park Ave.  Memphis. TN 38117,August 4. 2020,100
Wendy's #5601,7928 Winchester  Memphis. TN 38125,August 4. 2020,98
El Mezacal Restaurant,9947 Wolf River. STE 111  Germantown. TN 38139,August 4. 2020,99
MEMPHIS HERITAGE CHRISTIAN SCHOOL - FD SRV.,3802 GRAGG  Germantown. TN 38138,August 4. 2020,96
IVY LEAGUE LEARNING CENTER,2775 STAGE CENTER DR  Memphis. TN 38134,August 4. 2020,100
Owen Brennan's Restaurant,6150 Poplar Ave.. STE 150  Memphis. TN 38119,August 4. 2020,95
Mulan Bristro,2059 S. Houston Levee Rd.  Germantown. TN 38139,August 4. 2020,97
Klassy Kids Academy - Food Svc,2979 Elmore Park  Bartlett. TN 38134,August 4. 2020,100
New Macedonia Learning Center - Fd Srv,1635 Carpenter  Memphis. TN 38108,August 3. 2020,99
Garibaldi's Pizza,3530 Walker  Memphis. TN 38111,August 3. 2020,98
SEASON'S 52 - BAR,6085 POPLAR AVE  Memphis. TN 38119,August 3. 2020,100
St. Luke United Methodist Church,480 S. Highland St.  Memphis. TN 38111,August 3. 2020,94
Sonic Drive In,1169 N. Houston Levee  Cordova. TN 38018,August 3. 2020,97
YUM'S RESTAURANT,782 S HIGHLAND STREET  Memphis. TN 38111,August 3. 2020,97
Osaka Restsaurant,2200 N. Germantown Pkwy. #101  Cordova. TN 38018,August 3. 2020,92
The Cresent Club Bar,6075 Poplar Ave.. FL 9  Memphis. TN 38119,August 3. 2020,100
Super Kids / Food,3272 Chelsea Ave.  Memphis. TN 38108,August 3. 2020,100
Starbuck's #8352,2698 N. Germantown Pkwy  Memphis. TN 38133,August 3. 2020,98
Riverdale Kiddie Learning Center,4087 Riverdale  Memphis. TN 38115,August 3. 2020,99
901 WINGS,97 N. Main ST  Memphis. TN 38103,August 3. 2020,96
SEASON'S 52 - FD-SRV,6085 POPLAR AVE.  Memphis. TN 38119,August 3. 2020,99
DUNKIN DONUTS,7670 WINCHESTER RD #101  Memphis. TN 38125,August 3. 2020,98
Moe's Southwest Grill,3546 Walker  Memphis. TN 38111,August 3. 2020,98
Arby's #8040,7734 Winchester Rd.  Memphis. TN 38125,August 3. 2020,99
Qahwa Coffee Shop,109 N. Main St.  Memphis. TN 38103,August 3. 2020,99
Arnold's Bar-B-Que,6721 E. Shelby Dr.  Memphis. TN 38141,August 3. 2020,100
Osaka Bar,2200 N. Germantown Pkwy. #101  Cordova. TN 38018,August 3. 2020,100
Happy Mexican Primacy LLC (Bar),6080 Primacy Parkway  Memphis. TN 38119,August 2. 2020,99
UNCLE BUCKS RESTAURANT - FD-SRV.,1 BASS PRO DRIVE  Memphis. TN 38103,August 2. 2020,95
The Peabody (Lobby Bar),149 Union Ave.  Memphis. TN 38108,August 2. 2020,98
Wrapzody Gourmet Wraps,99 N. Main St.  Memphis. TN 38103,August 2. 2020,97
EDIBLE ARRANGEMENTS,8385 US HWY 64  Memphis. TN 38133,August 2. 2020,95
Happy Mexican Primacy LLC (Food Svc),6080 Primacy Parkway  Memphis. TN 38119,August 2. 2020,94
Three Little Pigs,5145 Quince  Memphis. TN 38117,August 2. 2020,100
Checker's #6223,6000 Mt. Moriah  Memphis. TN 38115,July 28. 2020,98
Asiana Garden Restaurant,5992 Mt. Moriah  Memphis. TN 38115,July 28. 2020,100
JOES',262 S HigHland Street  Memphis. TN 38111,July 28. 2020,95
South Of Beale-Bar,361 S. Main  Memphis. TN 38103,July 28. 2020,99
High Point Pizza,477 High Point Ter. STE A  Memphis. TN 38111,July 28. 2020,95
HARDEE - FD-SRV.,4628 SUMMER AVE.  Memphis. TN 38122,July 28. 2020,94
Bronte Bistro,387 Perkins Extended  Memphis. TN 38117,July 28. 2020,95
The Green Beetle - Bar,325 S. Main St.  Memphis. TN 38103,July 28. 2020,100
Hope House Daycare #2- Food,27 S. Idlewild  Memphis. TN 38104,July 28. 2020,100
Frida's Restaurant  (Bar 1),1718 Madison Ave.  Memphis. TN 38104,July 28. 2020,99
Kentucky Fried Chicken #069,8995 Hwy 64 E.  Lakeland. TN 38002,July 28. 2020,92
SERENITY RECEPTIONS & CATERING - BAR,1648 SYCAMORE VIEW  Memphis. TN 38134,July 28. 2020,100
Creative Wonders Learning Academy,2490 Chelsea St.  Memphis. TN 38108,July 28. 2020,97
SERENITY RECEPTIONS & CATERING - FD-SRV.,1648 SYCAMORE VIEW  Memphis. TN 38134,July 28. 2020,100
Cheffie's Cafe,483 High Point Terrace  Memphis. TN 38122,July 28. 2020,96
Rafferty's #0013,4542 Poplar Ave.  Memphis. TN 38117,July 28. 2020,95
Fazolis,3587 Riverdale Rd.  Memphis. TN 38115,July 28. 2020,95
SHIVER STATION,1258 1258 SOUTHLAND MALL #258  Memphis. TN 38116,July 28. 2020,94
Sam's Donuts. Inc.,392 New Byhalia Rd.  Collierville. TN 38017,July 28. 2020,96
THE BISTRO AT KIRBY PINES,3535 KIRBY PKWY  Memphis. TN 38115,July 28. 2020,98
Checker's #6223,6000 Mt. Moriah  Memphis. TN 38115,July 28. 2020,98
Asiana Garden Restaurant,5992 Mt. Moriah  Memphis. TN 38115,July 28. 2020,100
JOES',262 S HigHland Street  Memphis. TN 38111,July 28. 2020,95
South Of Beale-Bar,361 S. Main  Memphis. TN 38103,July 28. 2020,99
High Point Pizza,477 High Point Ter. STE A  Memphis. TN 38111,July 28. 2020,95
HARDEE - FD-SRV.,4628 SUMMER AVE.  Memphis. TN 38122,July 28. 2020,94
Bronte Bistro,387 Perkins Extended  Memphis. TN 38117,July 28. 2020,95
The Green Beetle - Bar,325 S. Main St.  Memphis. TN 38103,July 28. 2020,100
Hope House Daycare #2- Food,27 S. Idlewild  Memphis. TN 38104,July 28. 2020,100
Frida's Restaurant  (Bar 1),1718 Madison Ave.  Memphis. TN 38104,July 28. 2020,99
Kentucky Fried Chicken #069,8995 Hwy 64 E.  Lakeland. TN 38002,July 28. 2020,92
SERENITY RECEPTIONS & CATERING - BAR,1648 SYCAMORE VIEW  Memphis. TN 38134,July 28. 2020,100
Creative Wonders Learning Academy,2490 Chelsea St.  Memphis. TN 38108,July 28. 2020,97
SERENITY RECEPTIONS & CATERING - FD-SRV.,1648 SYCAMORE VIEW  Memphis. TN 38134,July 28. 2020,100
Cheffie's Cafe,483 High Point Terrace  Memphis. TN 38122,July 28. 2020,96
Rafferty's #0013,4542 Poplar Ave.  Memphis. TN 38117,July 28. 2020,95
Fazolis,3587 Riverdale Rd.  Memphis. TN 38115,July 28. 2020,95
SHIVER STATION,1258 1258 SOUTHLAND MALL #258  Memphis. TN 38116,July 28. 2020,94
THE BISTRO AT KIRBY PINES,3535 KIRBY PKWY  Memphis. TN 38115,July 28. 2020,98
Sam's Donuts. Inc.,392 New Byhalia Rd.  Collierville. TN 38017,July 28. 2020,96
African Restaurant,3275 Millbranch  Memphis. TN 38116,July 27. 2020,92
Jack Pirtle,2520 Mt Moriah  Memphis. TN 38115,July 27. 2020,95
Perkins Restaurant #1269,960 W. Poplar  Collierville. TN 38017,July 27. 2020,90
Springhill Suites (Bar),85 W. Court St.  Memphis. TN 38103,July 27. 2020,100
LENNY'S # 46,8950 HWY64 SUITE 111  Arlington. TN 38002,July 27. 2020,98
