name,address,date,score
Southwind School,8155 Meadowvale  Memphis. TN 38125,September 10. 2020,100
Local - FD-Serv.,2126 Madison Ave.  Memphis. TN 38104,September 10. 2020,94
17 BERKSHIRE,2094 TRIMBLE  Memphis. TN 38104,September 10. 2020,100
Kings & Queens Dcc - Fd Sv,676 Westview  Memphis. TN 38116,September 10. 2020,100
University of Little Scholars,1135 Winchester Rd  Memphis. TN 38116,September 10. 2020,99
Panaderia Monterrey/Kay's Bakery,667 Avon  Memphis. TN 38122,September 10. 2020,93
BAILEY'S EXECUTIVE CATERING,813 RIDGELAKE BLVD.  Memphis. TN 38120,September 10. 2020,98
Local - Bar # 1,2126 Madison Ave.  Memphis. TN 38104,September 10. 2020,97
Blues City Cafe - Bar,138 Beale St.  Memphis. TN 38103,September 10. 2020,98
El Sabor Latino. LLC,665 Avon RD  Memphis. TN 38122,September 10. 2020,98
New China,7020 E. Shelby Drive Ste 115  Memphis. TN 38125,September 10. 2020,99
Off The Square Catering,19 S. Florence  Memphis. TN 38104,September 10. 2020,99
Blues City Cafe,138 Beale St.  Memphis. TN 38103,September 10. 2020,96
Baskin Robbins,85 S. Highland  Memphis. TN 38111,September 10. 2020,100
The Peabody-Chez Phillipe,149 Union Ave.  Memphis. TN 38103,September 10. 2020,97
Joyner Nursery - Fd Svc,5050 Ravensworth  Memphis. TN 38109,September 10. 2020,99
Lowrance Elementary,7740 Lowrance Rd.  Memphis. TN 38125,September 10. 2020,100
Kidazzle Flying Start (Food),3194 Independent Dr.  Memphis. TN 38118,September 10. 2020,99
Westy's,346 N. Main St.  Memphis. TN 38103,September 9. 2020,84
Kirby Middle School,6670 E. Raines Rd.  Memphis. TN 38115,September 9. 2020,100
Hickory Ridge Middle School,3920 Ridgeway Rd.  Memphis. TN 38115,September 9. 2020,100
MEMPHIS BUSINESS ACADEMY HICKORY HILL,4443 S GERMANTOWN RD  Memphis. TN 38125,September 9. 2020,100
Silky O'Sullivan's - Oyster Bar,183 Beale St.  Memphis. TN 38103,September 9. 2020,98
Ross Road Elementary,4890 Ross Rd.  Memphis. TN 38138,September 9. 2020,100
EDUCARE LEARNING CENTER - FOOD SERV.,1555 MCALISTER ROAD  Memphis. TN 38116,September 9. 2020,98
Star Quality Day Care - Fd Service,1077 E. Raines Rd.  Memphis. TN 38116,September 9. 2020,100
Kentucky Fried Chicken #40,2452 Jackson Ave.  Memphis. TN 38108,September 9. 2020,94
Kirby High School,4080 Kirby Pkwy  Memphis. TN 38115,September 9. 2020,100
Red Robin #706,1231 Germantown N. Pkwy.  Cordova. TN 38018,September 9. 2020,97
Red Robin #706 - Bar,1231 Germantown Pkwy N.  Cordova. TN 38018,September 9. 2020,100
Westy's - Bar,346 N. Main St.  Memphis. TN 38103,September 9. 2020,98
Kim Chai,3307 Summer  Memphis. TN 38122,September 9. 2020,86
Dixie Queen,6769 E. Shelby Dr.  Memphis. TN 38141,September 9. 2020,96
Ridgeway Early Learning Center (Food Svc),3435 Ridge Meadow Parkway  Memphis. TN 38115,September 9. 2020,100
Douglas Headstart Center - Food,1600 N. Ash St.  Memphis. TN 38108,September 9. 2020,100
TACO BELL,1447 UNION AVE  Memphis. TN 38104,September 8. 2020,94
Kid Station DCC - Food Service,579 Erin Dr.  Memphis. TN 38117,September 8. 2020,98
Captain D's #6122,1690 Union Ave.  Memphis. TN 38104,September 8. 2020,91
Back Yard Burgers # 12,1723 Union Ave.  Memphis. TN 38104,September 8. 2020,90
TCBY,1708 UNION AVE  Memphis. TN 38104,September 8. 2020,94
The Blue Monkey (Bar),513 S. Front St.  Memphis. TN 38103,September 8. 2020,99
CITY SILO,5101 Sanderlin 104B  Memphis. TN 38117,September 8. 2020,96
El Mezcal,1492 Union Ave.  Memphis. TN 38104,September 8. 2020,98
Wendy's,1593 Union Avenue  Memphis. TN 38104,September 8. 2020,97
Kings & Queens Day Care Ii - Fd Service,694 W. Shelby Dr.  Memphis. TN 38109,September 8. 2020,100
SUBWAY #3008,6744 Winchester  Memphis. TN 38115,September 8. 2020,100
Aspiring Scholars - Fd Svc,1305 Winchester Rd.  Memphis. TN 38116,September 8. 2020,98
Abundance Of Love Enrichment Cntr,436 E. Raines Rd.  Memphis. TN 38109,September 8. 2020,98
Christ Trinity/Fd Srv,3533 Ridge Meadow Pkwy  Memphis. TN 38115,September 8. 2020,100
WASABI SUSHI & ASIAN FUSION - FD-SRV.,5101 SANDERLIN SUITE 105  Memphis. TN 38117,September 8. 2020,96
The Blue Monkey,513 S. Front St.  Memphis. TN 38103,September 8. 2020,97
